supplement_name,category,description,used_for,benefits,how_it_works,recommended_dosage,recommended_timing,bioavailability_notes,clinical_description,tags,source_url,notes
"1,3-Dimethylamylamine",Muscle Gain & Exercise,"1,3-DMAA (1,3-Dimethylamylamine) is a neural stimulant with a structure similar to ephedrine and adrenaline that is commonly discussed as a pre-workout stimulant.",Muscle Gain & Exercise,"Human evidence appears limited, so treat benefits as uncertain.","1,3-Dimethylamylamine appears to act mainly through stimulant-like nervous-system pathways that can affect energy, alertness, or exertion.","A typical starting dose of 1,3-DMAA is in the 10-20mg range and eventually reaching up to 40-60mg a day, there is no actual evidence to support this dosage range but it seems to be the standard dosages range for supplemental 1,3-DMAA on the market. 1,3-DMAA is known to be banned by various sports organizations due to its amphetamine-like nature, and should not be used by tested athletes.","Daily, following dosage notes.",,"1,3-DMAA (1,3-Dimethylamylamine) is a neural stimulant with a structure similar to ephedrine and adrenaline that is commonly discussed as a pre-workout stimulant. Human evidence appears limited, so treat benefits as uncertain. 1,3-Dimethylamylamine appears to act mainly through stimulant-like nervous-system pathways that can affect energy, alertness, or exertion. High caution: prohibited, banned, or not approved language appears in the source. Evidence appears limited; human review recommended.",muscle-gain-exercise;cognition;stimulant;hormones;wada-caution,https://examine.com/supplements/1-3-dimethylamylamine/,"High caution: prohibited, banned, or not approved language appears in the source. Evidence appears limited; human review recommended."
5-HTP,Mental Health,"5-HTP is the precursor to serotonin, a neurotransmitter involved in regulating many body processes like mood, sleep, and appetite.",Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying 5-HTP clinically.,"5-HTP is usually taken orally in capsule form. It can be taken once daily or in divided doses (i.e., the total daily dose is split into two or three doses). For depression, most studies have used dosages in the range of 200 mg to 300 mg daily for up to 1 year.[1] For weight loss or appetite regulation,",Split across the day as described in dosage notes.,,"5-HTP is the precursor to serotonin, a neurotransmitter involved in regulating many body processes like mood, sleep, and appetite. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying 5-HTP clinically. Paraphrased from public Examine page extraction; educational only.",mental-health;sleep;cognition;exercise;hormones,https://examine.com/supplements/5-htp/,Paraphrased from public Examine page extraction; educational only.
7-Keto DHEA,Metabolic Health,"7-Keto DHEA is a metabolite of DHEA that is nonhormonal, and it appears to be a fat loss agent as it may increase the metabolic rate.",Metabolic Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying 7-Keto DHEA clinically.,"A typical supplemental dosage of 7-keto is 200-400mg daily in two divided doses (100-200mg), some limited evidence suggests that lower doses of 50-100mg may be effective for neural purposes. The optimal dosing schedule and overall dose of 7-keto is not yet known, and the above dosages are just based on what is known to have efficacy.",Split across the day as described in dosage notes.,,"7-Keto DHEA is a metabolite of DHEA that is nonhormonal, and it appears to be a fat loss agent as it may increase the metabolic rate. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying 7-Keto DHEA clinically. Evidence appears limited; human review recommended.",metabolic-health;stress;hormones;experimental,https://examine.com/supplements/7-keto-dhea/,Evidence appears limited; human review recommended.
"7,8-Dihydroxyflavone",Mental Health,"7,8-DHF is a natural flavonoid which can reach the brain and activate a receptor (TrkB) that promotes neuronal growth.",Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,"7,8-Dihydroxyflavone is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain.","There are currently no human studies on 7,8-DHF to take human doses from, with all estimates being mathematically approximated from rodent research. The majority of rodent research does use intravenous injections however, with limited studies using oral ingestion. Oral ingestion does appear to have effects,",,,"7,8-DHF is a natural flavonoid which can reach the brain and activate a receptor (TrkB) that promotes neuronal growth. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. 7,8-Dihydroxyflavone is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain. Paraphrased from public Examine page extraction; educational only.",mental-health;cognition,https://examine.com/supplements/7-8-dihydroxyflavone/,Paraphrased from public Examine page extraction; educational only.
Acetate,Gut Health,Acetate is a short-chain fatty acid (SCFA) that is made when bacteria in the gut ferment foods like dietary fiber and resistant starch.,Gut Health,Potential benefits are context-specific; review the source evidence before using Acetate in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Acetate clinically.,No clear public dosage summary extracted; review source before use.,,,Acetate is a short-chain fatty acid (SCFA) that is made when bacteria in the gut ferment foods like dietary fiber and resistant starch. Potential benefits are context-specific; review the source evidence before using Acetate in a protocol. Mechanism details are not clear from the public summary; review the source before applying Acetate clinically. Check pregnancy/lactation safety before client use.,gut-health,https://examine.com/supplements/acetate/,Check pregnancy/lactation safety before client use.
African Mango,Metabolic Health,African mango supplements are derived from the seeds of the African mango fruit that grows on the Irvingia gabonensis tree.,Metabolic Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,"African Mango may affect metabolic signaling, glucose handling, or lipid-related pathways.","Supplemental dosages of irvingia gabonensis are quite variable, being anywhere between 150-3,200mg taken daily alongside meals. The optimal or effective dose is not currently known, but since the dietary fiber may be the active ingredient then supplementing in the higher end of the aforementioned range may be prudent.","Daily, following dosage notes.",,"African mango supplements are derived from the seeds of the African mango fruit that grows on the Irvingia gabonensis tree. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. African Mango may affect metabolic signaling, glucose handling, or lipid-related pathways. Check pregnancy/lactation safety before client use.",metabolic-health;blood-sugar;sleep;cognition;exercise;hormones;heart-health,https://examine.com/supplements/african-mango/,Check pregnancy/lactation safety before client use.
Agmatine,Mental Health,Agmatine is a metabolite of L-Arginine. It shows promise for alleviating neuropathic pain and drug addiction and shows some potential in protecting against strokes and benefitting cognitive health.,Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Agmatine clinically.,"There are no standard dosages for agmatine because of the lack of human evidence for its effects. However, a single human study used 1,300-2,670mg of agmatine, daily for the treatment of neuropathic pain. The estimated human dose for improving cognition is 1.6-6.4mg/kg of agmatine, taken orally. This is based off of the 10-40mg/kg dosage range for rats, and is equivalent to 109-435mg for a 150lb person.","Daily, following dosage notes.",,Agmatine is a metabolite of L-Arginine. It shows promise for alleviating neuropathic pain and drug addiction and shows some potential in protecting against strokes and benefitting cognitive health. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Agmatine clinically. Paraphrased from public Examine page extraction; educational only.,mental-health;cognition;exercise;hormones,https://examine.com/supplements/agmatine/,Paraphrased from public Examine page extraction; educational only.
Akarkara,General Health,Akarkara (Anacyclus pyrethrum) is an herb used in traditional medicine that is also sold as a supplement.,General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Akarkara clinically.,"Studies in rats use a range of 50-150 mg/kg bodyweight Anacyclus pyrethrum roots (DC) daily, with all tested extracts (ethanolic, petroleum ether, water) appearing to be effective.","Daily, following dosage notes.",,Akarkara (Anacyclus pyrethrum) is an herb used in traditional medicine that is also sold as a supplement. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Akarkara clinically. Paraphrased from public Examine page extraction; educational only.,general-health;cognition;exercise;hormones,https://examine.com/supplements/akarkara/,Paraphrased from public Examine page extraction; educational only.
Akkermansia muciniphila,Metabolic Health,Akkermansia muciniphila is a species of bacteria found in the intestinal microbiome.,Metabolic Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Akkermansia muciniphila may act through gut-microbiome or digestive pathways.,"Akkermansia muciniphila can be supplemented as a probiotic (live microorganism) or after pasteurization (postbiotic; dead microorganism). Supplementing with A. muciniphila is a novel concept, and currently there’s a lack of clinical research confirming its safety, efficacy, and optimal dosage or form. A.",,,Akkermansia muciniphila is a species of bacteria found in the intestinal microbiome. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Akkermansia muciniphila may act through gut-microbiome or digestive pathways. Paraphrased from public Examine page extraction; educational only.,metabolic-health;cognition;exercise;gut-health;hormones,https://examine.com/supplements/akkermansia-muciniphila/,Paraphrased from public Examine page extraction; educational only.
Alanine,Metabolic Health,Alanine is a non-essential amino acid used in protein synthesis and the regeneration of glucose within the liver via the glucose–alanine cycle.,Metabolic Health,Potential benefits are context-specific; review the source evidence before using Alanine in a protocol.,"Alanine may affect metabolic signaling, glucose handling, or lipid-related pathways.",No clear public dosage summary extracted; review source before use.,,,"Alanine is a non-essential amino acid used in protein synthesis and the regeneration of glucose within the liver via the glucose–alanine cycle. Potential benefits are context-specific; review the source evidence before using Alanine in a protocol. Alanine may affect metabolic signaling, glucose handling, or lipid-related pathways. Check pregnancy/lactation safety before client use.",metabolic-health;blood-sugar,https://examine.com/supplements/alanine/,Check pregnancy/lactation safety before client use.
